ORD_YMD,CENT_CD,ITEM_CD,ITEM_NM,SUM(A.CONV_QTY)
20250113,20085,123724,크라운)산도밤티라미수161g,288
20250114,20010,123555,SAMG)위시캣발바닥모양캔디42g,240
20250114,20010,123558,농심)츄파춥스오션믹스젤리60g,160
20250114,20017,123641,선우)O△□동결건조젤리13g,256
20250114,20033,123555,SAMG)위시캣발바닥모양캔디42g,160
20250114,20049,123558,농심)츄파춥스오션믹스젤리60g,320
20250114,20079,123555,SAMG)위시캣발바닥모양캔디42g,160
20250114,20080,123558,농심)츄파춥스오션믹스젤리60g,"1,600"
20250114,20081,123558,농심)츄파춥스오션믹스젤리60g,160
20250114,20083,123555,SAMG)위시캣발바닥모양캔디42g,240
20250114,20083,123558,농심)츄파춥스오션믹스젤리60g,480
20250114,20085,123555,SAMG)위시캣발바닥모양캔디42g,80
20250114,20085,123558,농심)츄파춥스오션믹스젤리60g,240
20250114,20091,123558,농심)츄파춥스오션믹스젤리60g,480
20250114,20091,123724,크라운)산도밤티라미수161g,144
20250115,20006,123549,해태)오사쯔빠스50g,"5,456"
20250115,20006,123608,오츠카)소이조이후르츠&치즈30g,"1,680"
20250115,20006,123609,오츠카)소이조이마카다미아&레몬25g,"1,680"
20250115,20006,123638,농심)후르츠텔라48g,720
20250115,20007,123549,해태)오사쯔빠스50g,"6,976"
20250115,20007,123557,SAMG)하츄핑의4D젤리42g,600
20250115,20007,123608,오츠카)소이조이후르츠&치즈30g,960
20250115,20007,123609,오츠카)소이조이마카다미아&레몬25g,960
20250115,20007,123638,농심)후르츠텔라48g,"1,440"
20250115,20010,123549,해태)오사쯔빠스50g,"7,296"
20250115,20017,123549,해태)오사쯔빠스50g,"3,920"
20250115,20017,123551,엔제이)마키노나쵸칩치즈50g,36
20250115,20017,123557,SAMG)하츄핑의4D젤리42g,360
20250115,20017,123558,농심)츄파춥스오션믹스젤리60g,240
20250115,20017,123608,오츠카)소이조이후르츠&치즈30g,816
20250115,20017,123609,오츠카)소이조이마카다미아&레몬25g,720
20250115,20017,123638,농심)후르츠텔라48g,576
20250115,20017,123642,삼경)필러즈미스터리큐브46g,128
20250115,20033,123549,해태)오사쯔빠스50g,"1,616"
20250115,20033,123608,오츠카)소이조이후르츠&치즈30g,144
20250115,20033,123609,오츠카)소이조이마카다미아&레몬25g,240
20250115,20033,123724,크라운)산도밤티라미수161g,24
20250115,20034,123549,해태)오사쯔빠스50g,"7,536"
20250115,20034,123557,SAMG)하츄핑의4D젤리42g,120
20250115,20034,123608,오츠카)소이조이후르츠&치즈30g,720
20250115,20034,123609,오츠카)소이조이마카다미아&레몬25g,864
20250115,20034,123638,농심)후르츠텔라48g,960
20250115,20034,123642,삼경)필러즈미스터리큐브46g,256
20250115,20034,123724,크라운)산도밤티라미수161g,240
20250115,20049,123549,해태)오사쯔빠스50g,"3,888"
20250115,20049,123558,농심)츄파춥스오션믹스젤리60g,240
20250115,20049,123609,오츠카)소이조이마카다미아&레몬25g,192
20250115,20049,123638,농심)후르츠텔라48g,528
20250115,20049,123724,크라운)산도밤티라미수161g,144
20250115,20050,123549,해태)오사쯔빠스50g,"5,632"
20250115,20050,123557,SAMG)하츄핑의4D젤리42g,480
20250115,20050,123608,오츠카)소이조이후르츠&치즈30g,480
20250115,20050,123609,오츠카)소이조이마카다미아&레몬25g,576
20250115,20050,123638,농심)후르츠텔라48g,576
20250115,20050,123724,크라운)산도밤티라미수161g,96
20250115,20065,123549,해태)오사쯔빠스50g,"3,488"
20250115,20065,123551,엔제이)마키노나쵸칩치즈50g,36
20250115,20065,123555,SAMG)위시캣발바닥모양캔디42g,80
20250115,20065,123558,농심)츄파춥스오션믹스젤리60g,400
20250115,20065,123608,오츠카)소이조이후르츠&치즈30g,192
20250115,20065,123609,오츠카)소이조이마카다미아&레몬25g,144
20250115,20065,123638,농심)후르츠텔라48g,864
20250115,20065,123724,크라운)산도밤티라미수161g,48
